iter	Logloss
547	0.3551238816
548	0.3550515525
549	0.3549212243
550	0.3548582253
551	0.354790819
552	0.3547065521
553	0.3546431078
554	0.3545503546
555	0.3544735987
556	0.3544562067
557	0.3543170804
558	0.3543163326
559	0.3542782094
560	0.3542783706
561	0.3542144047
562	0.3542119669
563	0.3541041472
564	0.3540565013
565	0.3539843512
566	0.3539289344
567	0.3538364089
568	0.3537510956
569	0.3536800629
570	0.353640082
571	0.3535818913
572	0.3535343546
573	0.3534701101
574	0.3534680458
575	0.3534526217
576	0.3534404182
577	0.3534351994
578	0.3534034715
579	0.3533958203
580	0.3533392773
581	0.3533012371
582	0.3532925984
583	0.3532146641
584	0.3531471499
585	0.3531247501
586	0.3530415683
587	0.3529418518
588	0.3528922858
589	0.352889991
590	0.3528182269
591	0.3528050043
592	0.352747866
593	0.3527184903
594	0.3526771948
595	0.3526507035
596	0.3525990126
597	0.3525767281
598	0.3524885244
599	0.3524619985
600	0.3524346983
601	0.3523697637
602	0.3523146762
603	0.3522840775
604	0.3522120999
605	0.352206279
606	0.3521634665
607	0.352099771
608	0.3520530014
609	0.3520351847
610	0.3520070021
611	0.3519404718
612	0.3518830245
613	0.3518230261
614	0.3517775866
615	0.3517463996
616	0.3517101674
617	0.3517037694
618	0.351680273
619	0.351618905
620	0.3515528271
621	0.3515073441
622	0.3514583526
623	0.3514036124
624	0.3513453615
625	0.3512640849
626	0.351260169
627	0.3511839384
628	0.3511615088
629	0.3510999966
630	0.3510128431
631	0.3509709007
632	0.3509422172
633	0.3509089363
634	0.3508146504
635	0.3508021148
636	0.3507718614
637	0.3507160745
638	0.3506509405
639	0.3506130623
640	0.350519564
641	0.350438858
642	0.3504323425
643	0.3503327606
644	0.3503322684
645	0.3501740588
646	0.3501150297
647	0.3500581302
648	0.3500133673
649	0.3499922078
650	0.3498996782
651	0.3498880281
652	0.3497955564
653	0.3497586785
654	0.3497323425
655	0.3496642763
656	0.3495955405
657	0.3495808083
658	0.3495381118
659	0.3494827553
660	0.3494648334
661	0.3494277914
662	0.3493933925
663	0.3493031908
664	0.3492764459
665	0.3491674111
666	0.3490788989
667	0.3490172133
668	0.3490167239
669	0.3489310578
670	0.3488823048
671	0.3487793286
672	0.3487048003
673	0.3486450797
674	0.3486404141
675	0.348613127
676	0.348497148
677	0.348431884
678	0.3484046535
679	0.3483568298
680	0.3483139132
681	0.3482943035
682	0.3482175746
683	0.3482080677
684	0.3481088295
685	0.3481044572
686	0.3480653083
687	0.3480512323
688	0.3479893687
689	0.3479662259
690	0.3479552611
691	0.3478898313
692	0.3478895198
693	0.3478680485
694	0.3478482759
695	0.3478342954
696	0.3477507616
697	0.3476954901
698	0.3476513039
699	0.3476212712
700	0.3476209601
701	0.3475362545
702	0.3474582951
703	0.3473939944
704	0.3473143232
705	0.3472258343
706	0.3471879387
707	0.3471431049
708	0.3471010772
709	0.3470466251
710	0.347007978
711	0.3469531563
712	0.3469246975
713	0.3468919457
714	0.3468517495
715	0.3468144483
716	0.3467352249
717	0.3466589706
718	0.3466268428
719	0.3465437713
720	0.3465042489
721	0.3464307347
722	0.3463558389
723	0.3463157439
724	0.34624398
725	0.3461998677
726	0.3461898389
727	0.3461561709
728	0.3461060284
729	0.3460612035
730	0.346030849
731	0.345958305
732	0.3459193844
733	0.3458801714
734	0.3458536284
735	0.3458377787
736	0.3457677995
737	0.3457072733
738	0.3456828698
739	0.3456551373
740	0.3455993658
741	0.345574563
742	0.3455416499
743	0.3455138558
744	0.3454652485
745	0.345390159
746	0.3453497629
747	0.3453002012
748	0.3452131003
749	0.3452076668
750	0.3451892321
751	0.3451547305
752	0.3450722223
753	0.3450033463
754	0.3449709218
755	0.3449221729
756	0.3448691582
757	0.3447999997
758	0.3447930602
759	0.3447663588
760	0.3447174848
761	0.344710305
762	0.3446831017
763	0.3446818435
764	0.3446329317
765	0.3445850408
766	0.3445344515
767	0.3444991047
768	0.3444424953
769	0.3444080788
770	0.3443672259
771	0.3443195988
772	0.3442517297
773	0.3442001223
774	0.3441769228
775	0.3441313424
776	0.3440885977
777	0.3440696803
778	0.3440410688
779	0.3439897343
780	0.3439267128
781	0.3438698629
782	0.3437812747
783	0.343733662
784	0.3436770732
785	0.3436052566
786	0.3435370472
787	0.3435321006
788	0.3435316928
789	0.3434524732
790	0.3433859452
791	0.3433173093
792	0.3432627905
793	0.3431948139
794	0.3431729207
795	0.343130146
796	0.3430915308
797	0.3430367641
798	0.3429987215
799	0.342977591
800	0.342902186
801	0.3428753759
802	0.3428163335
803	0.342748497
804	0.3427482227
805	0.342727163
806	0.342710426
807	0.3427082866
808	0.3426565902
809	0.3426399526
810	0.3425992886
811	0.3425567684
812	0.3424814253
813	0.3423946191
814	0.3423603293
815	0.3423531318
816	0.34228868
817	0.342243921
818	0.3422032175
819	0.3421415231
820	0.3421292919
821	0.3420969895
822	0.3420719942
823	0.3419960769
824	0.3419554657
825	0.3419104702
826	0.3418413952
827	0.341802763
828	0.3417675531
829	0.3417173046
830	0.3416590388
831	0.3416001514
832	0.3415305076
833	0.341504476
834	0.3414412941
835	0.3414411012
836	0.341390401
837	0.3413462339
838	0.3412977006
839	0.3412506446
840	0.3412106178
841	0.3411812646
842	0.341122874
843	0.3410760425
844	0.3410644523
845	0.3410643507
846	0.3410210956
847	0.3409491195
848	0.3408962705
849	0.3408721638
850	0.3408352101
851	0.3407760784
852	0.3407494612
853	0.3407289918
854	0.3406599467
855	0.340615459
856	0.3405752938
857	0.340536299
858	0.3405043438
859	0.3404733768
860	0.3404274339
861	0.3403669116
862	0.3403404833
863	0.3402780685
864	0.3402335195
865	0.3401774446
866	0.3401143874
867	0.3400794099
868	0.3400440803
869	0.3399868468
870	0.3399667065
871	0.3399115309
872	0.339877824
873	0.3398421138
874	0.3397922188
875	0.3397482158
876	0.3396855723
877	0.3396678548
878	0.339598935
879	0.3395552983
880	0.339525126
881	0.339474245
882	0.3394537689
883	0.3394064985
884	0.3393779036
885	0.3393131256
886	0.3392905312
887	0.3392572013
888	0.3392172346
889	0.3391677188
890	0.3391228245
891	0.3390625048
892	0.3390037697
893	0.3389702293
894	0.3389472631
895	0.3388982973
896	0.3388622157
897	0.3388045276
898	0.3387524639
899	0.3387200919
900	0.33865799
901	0.3386086792
902	0.3385646783
903	0.3385221278
904	0.3384786413
905	0.3384469177
906	0.3383968116
907	0.338346971
908	0.3383257614
909	0.3382902919
910	0.3382432496
911	0.3381990519
912	0.3381786818
913	0.3381618466
914	0.3381104792
915	0.3380888537
916	0.3380411509
917	0.3380096024
918	0.3379788023
919	0.3379367814
920	0.3379253228
921	0.337923638
922	0.3379047557
923	0.3378489605
924	0.3377952883
925	0.3377285353
926	0.3376938188
927	0.3376608995
928	0.3376322897
929	0.3375968223
930	0.3375754023
931	0.3375324715
932	0.3374821933
933	0.33745643
934	0.3374210135
935	0.3373841315
936	0.3373320487
937	0.3373177923
938	0.3372751512
939	0.3372288713
940	0.3371773889
941	0.3371250207
942	0.3370800211
943	0.3370337879
944	0.3369736599
945	0.3369345006
946	0.3368928044
947	0.3368181246
948	0.336787709
949	0.3367546153
950	0.3366977398
951	0.3366560706
952	0.336609687
953	0.3365851
954	0.3365587943
955	0.3365318994
956	0.3365048027
957	0.3364641407
958	0.3364347877
959	0.3363988317
960	0.3363616819
961	0.3363183165
962	0.3362924964
963	0.3362619745
964	0.3362280635
965	0.3361763178
966	0.336128814
967	0.3361084267
968	0.3360794373
969	0.3360391208
970	0.3360016841
971	0.3359392558
972	0.335899461
973	0.3358621101
974	0.3358427113
975	0.3358242245
976	0.3357739667
977	0.3357427959
978	0.3357231714
979	0.3356823607
980	0.3356438753
981	0.3356322027
982	0.3356066341
983	0.3355606169
984	0.335516479
985	0.33547572
986	0.3354075254
987	0.3353699944
988	0.3353253913
989	0.3352858354
990	0.3352487194
991	0.3352020917
992	0.3351806171
993	0.3351392423
994	0.335116355
995	0.335086389
996	0.3350673281
997	0.3350273806
998	0.3349938693
999	0.3349559308
